,regret after 1 iterations,regret after 2 iterations,regret after 3 iterations,regret after 4 iterations,regret after 5 iterations,regret after 6 iterations,regret after 7 iterations,regret after 8 iterations,regret after 9 iterations,regret after 10 iterations,regret after 11 iterations,regret after 12 iterations,regret after 13 iterations,regret after 14 iterations,regret after 15 iterations,regret after 16 iterations,regret after 17 iterations,regret after 18 iterations,regret after 19 iterations,regret after 20 iterations,regret after 21 iterations,regret after 22 iterations,regret after 23 iterations,regret after 24 iterations,regret after 25 iterations,regret after 26 iterations,regret after 27 iterations,regret after 28 iterations,regret after 29 iterations,regret after 30 iterations,regret after 31 iterations,regret after 32 iterations,regret after 33 iterations,regret after 34 iterations,regret after 35 iterations,regret after 36 iterations,regret after 37 iterations,regret after 38 iterations,regret after 39 iterations,regret after 40 iterations
3,0.028651952743530273,0.028651952743530273,0.017740726470947266,0.017740726470947266,0.017740726470947266,0.017740726470947266,0.012236356735229492,0.011996924877166748,0.011996924877166748,0.011996924877166748,0.011996924877166748,0.011996924877166748,0.011996924877166748,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.00847703218460083,0.007166624069213867,0.006187319755554199,0.006187319755554199,0.006187319755554199,0.006187319755554199,0.006187319755554199,0.005558788776397705,0.005558788776397705,0.005558788776397705,0.005558788776397705,0.005558788776397705,0.005558788776397705,0.005558788776397705,0.005558788776397705
8,0.0230942964553833,0.0121917724609375,0.0121917724609375,0.0121917724609375,0.0121917724609375,0.0121917724609375,0.0121917724609375,0.0121917724609375,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0022606849670410156,0.0,0.0,0.0,0.0
11,0.22458010911941528,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22344791889190674,0.22138535976409912,0.22138535976409912,0.22138535976409912
12,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.0025000572204589844,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248,0.001666724681854248
40971,0.05261683464050293,0.04494661092758179,0.04494661092758179,0.04494661092758179,0.03406643867492676,0.027702271938323975,0.027702271938323975,0.027702271938323975,0.027702271938323975,0.027702271938323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975,0.026481568813323975
14,0.003611147403717041,0.0016666650772094727,0.0016666650772094727,0.0016666650772094727,0.0002778172492980957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.005833327770233154,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0002777576446533203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887
22,0.008611142635345459,0.008611142635345459,0.004722237586975098,0.004722237586975098,0.004444479942321777,0.004444479942321777,0.004444479942321777,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0022222399711608887,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957,0.0002778172492980957
