,time after 1 iterations,time after 2 iterations,time after 3 iterations,time after 4 iterations,time after 5 iterations,time after 6 iterations,time after 7 iterations,time after 8 iterations,time after 9 iterations,time after 10 iterations,time after 11 iterations,time after 12 iterations,time after 13 iterations,time after 14 iterations,time after 15 iterations,time after 16 iterations,time after 17 iterations,time after 18 iterations,time after 19 iterations,time after 20 iterations,time after 21 iterations,time after 22 iterations,time after 23 iterations,time after 24 iterations,time after 25 iterations,time after 26 iterations,time after 27 iterations,time after 28 iterations,time after 29 iterations,time after 30 iterations,time after 31 iterations,time after 32 iterations,time after 33 iterations,time after 34 iterations,time after 35 iterations,time after 36 iterations,time after 37 iterations,time after 38 iterations,time after 39 iterations,time after 40 iterations,time after 41 iterations,time after 42 iterations,time after 43 iterations,time after 44 iterations,time after 45 iterations,time after 46 iterations,time after 47 iterations,time after 48 iterations,time after 49 iterations,time after 50 iterations,time after 51 iterations,time after 52 iterations,time after 53 iterations,time after 54 iterations,time after 55 iterations,time after 56 iterations,time after 57 iterations,time after 58 iterations,time after 59 iterations,time after 60 iterations,time after 61 iterations,time after 62 iterations,time after 63 iterations,time after 64 iterations,time after 65 iterations,time after 66 iterations,time after 67 iterations,time after 68 iterations,time after 69 iterations,time after 70 iterations,time after 71 iterations,time after 72 iterations,time after 73 iterations,time after 74 iterations,time after 75 iterations,time after 76 iterations,time after 77 iterations,time after 78 iterations,time after 79 iterations,time after 80 iterations,time after 81 iterations,time after 82 iterations,time after 83 iterations,time after 84 iterations,time after 85 iterations,time after 86 iterations,time after 87 iterations,time after 88 iterations,time after 89 iterations,time after 90 iterations,time after 91 iterations,time after 92 iterations,time after 93 iterations,time after 94 iterations,time after 95 iterations,time after 96 iterations,time after 97 iterations,time after 98 iterations,time after 99 iterations
3,50.761627435684204,100.30554604530334,150.7008831501007,201.17103099822998,249.11245441436768,296.9941940307617,343.7028932571411,390.3695137500763,437.1931610107422,483.11024808883667,529.4422018527985,576.4926364421844,622.7864291667938,668.6798031330109,714.2389667034149,760.24298787117,806.2025926113129,851.8929336071014,896.2532517910004,939.879791021347,985.112714767456,1029.7255363464355,1073.5623662471771,1117.3906879425049,1162.0049657821655,1207.410858631134,1251.0450592041016,1296.2649908065796,1340.8047766685486,1384.5894107818604,1431.5632998943329,1474.834656238556,1521.0296700000763,1566.1079115867615,1610.1542086601257,1653.8038969039917,1698.4045383930206,1744.8801846504211,1790.7301111221313,1836.8316371440887,1882.6959307193756,1928.5928151607513,1975.978909254074,2020.200495004654,2065.646586894989,2110.887116909027,2156.5224628448486,2200.5886511802673,2245.715250015259,2289.8078093528748,2336.0940458774567,2381.0304052829742,2425.319062948227,2469.0111286640167,2512.791426420212,2558.3981812000275,2603.068581342697,2647.379989385605,2690.701018333435,2734.99875164032,2778.5985519886017,2823.5034127235413,2866.8810262680054,2910.9427609443665,2955.3874564170837,2999.560982942581,3045.2319991588593,3088.6719284057617,3132.7481644153595,3177.491030931473,3221.856062889099,3267.3293726444244,3313.5407993793488,3357.621402025223,3403.096357345581,3447.7171308994293,3493.530269384384,3539.841015815735,3584.654369354248,3628.2329111099243,3673.4115858078003,3716.3217787742615,3759.9734106063843,3804.1178455352783,3847.898526906967,3892.470622777939,3936.2275245189667,3980.5235965251923,4023.8092107772827,4068.8661589622498,4111.888839483261,4155.489544630051,4198.677577972412,4242.196103334427,4286.472322940826,4330.05547451973,4373.676137208939,4417.196176528931,4460.06365442276
8,49.29267239570618,97.24487090110779,145.030522108078,191.54646277427673,238.71170353889465,283.81799054145813,328.88921093940735,375.0819265842438,418.8943808078766,462.2682993412018,505.8957140445709,551.8321952819824,596.2528116703033,639.8384237289429,683.5482013225555,726.9782576560974,770.2718241214752,813.6182327270508,857.5326552391052,899.845920085907,942.9234585762024,986.4353981018066,1030.0798916816711,1074.6710484027863,1119.3283562660217,1163.9144728183746,1207.9370200634003,1250.8441677093506,1295.1491374969482,1338.1630806922913,1381.9441447257996,1426.5497851371765,1470.0090930461884,1514.0677382946014,1557.702865600586,1602.6488451957703,1648.0973031520844,1691.6631739139557,1735.6438088417053,1779.0500910282135,1824.813904285431,1868.4382331371307,1912.1047945022583,1956.5847659111023,2000.1031475067139,2044.5155096054077,2089.237378835678,2132.8858902454376,2176.387519836426,2219.2785351276398,2264.113823890686,2309.0460016727448,2353.8490703105927,2399.3248031139374,2443.0124056339264,2486.63272023201,2530.0067687034607,2575.3215045928955,2619.7945477962494,2664.8311626911163,2707.8292882442474,2753.919013738632,2799.822630882263,2843.4815418720245,2888.579022884369,2931.9398939609528,2975.969399690628,3019.974468231201,3061.7233452796936,3105.4607746601105,3148.339737892151,3191.1629798412323,3234.3520135879517,3278.6612434387207,3322.11443400383,3365.938477754593,3410.639179468155,3455.654876470566,3499.6057245731354,3542.951813220978,3585.8063147068024,3630.3574550151825,3673.47890996933,3717.4951355457306,3762.483798980713,3806.720190048218,3851.7765848636627,3896.689625263214,3939.8736889362335,3984.0159730911255,4028.6005914211273,4073.633880376816,4116.172736644745,4160.179111003876,4201.612628221512,4244.944920301437,4287.511679887772,4331.663991451263,4374.497468948364
11,50.527122259140015,99.97675204277039,149.0821180343628,196.29002594947815,242.3925380706787,289.5529978275299,335.69231152534485,382.18654012680054,427.1678240299225,473.6162300109863,518.8542249202728,564.9914126396179,612.5080592632294,657.8087768554688,703.0197539329529,748.0866944789886,792.3479082584381,837.6554110050201,883.7418541908264,928.4875874519348,974.0163667201996,1018.6524901390076,1064.7423648834229,1107.933429479599,1154.7223386764526,1201.0075707435608,1244.8020453453064,1290.1498968601227,1336.70152759552,1381.5683658123016,1425.9773530960083,1471.2041816711426,1515.2742104530334,1560.2869510650635,1605.603675365448,1651.677669286728,1697.2477972507477,1742.7469429969788,1789.5276367664337,1836.1453013420105,1883.3761265277863,1929.5652477741241,1975.791023015976,2020.6021554470062,2065.5734992027283,2110.3993685245514,2154.818825006485,2200.3479022979736,2244.451730489731,2289.3462879657745,2334.3718843460083,2380.3276426792145,2424.223753929138,2468.143586874008,2512.656536102295,2557.4855802059174,2602.040606021881,2644.8694393634796,2689.599822998047,2731.820974588394,2774.230244874954,2819.465448141098,2862.6762108802795,2906.9888627529144,2951.5217962265015,2994.9324655532837,3039.754104614258,3084.1830594539642,3128.546439886093,3172.5142652988434,3217.151739358902,3261.194288253784,3306.0428326129913,3350.30761885643,3396.587301492691,3442.64813375473,3487.9518699645996,3532.905217885971,3578.46337389946,3622.0117065906525,3665.8748149871826,3709.073760509491,3752.33300447464,3797.364990234375,3842.2873945236206,3885.7539417743683,3928.9231646060944,3973.5940980911255,4016.8885164260864,4062.2731308937073,4105.931303739548,4149.281456708908,4191.525366306305,4236.4422743320465,4280.639807939529,4323.983959674835,4370.032820701599,4413.767580747604,4458.030501842499
12,50.72714686393738,99.61079359054565,149.71010899543762,200.1163511276245,248.87188410758972,297.8659312725067,343.96456503868103,389.9923927783966,437.2697787284851,483.87060832977295,530.2766966819763,579.111085653305,626.935831785202,672.8318734169006,719.1055059432983,766.3393580913544,812.9942417144775,858.1749076843262,904.7583703994751,949.3745441436768,994.7692375183105,1039.815298318863,1085.2693824768066,1129.5640170574188,1174.0900778770447,1220.6412811279297,1265.540284872055,1310.4076766967773,1355.1688911914825,1399.9680054187775,1446.6662936210632,1491.6793973445892,1536.2631168365479,1580.6782982349396,1626.2154490947723,1670.7069704532623,1714.50390791893,1759.4201319217682,1806.0170195102692,1850.2867290973663,1895.2730526924133,1939.4225404262543,1983.705308675766,2027.8827340602875,2072.9025571346283,2115.1889157295227,2159.721667766571,2205.206408262253,2248.8194513320923,2293.9445173740387,2338.061747074127,2383.9469678401947,2428.2921855449677,2472.926957130432,2519.0699484348297,2562.895732164383,2607.494713783264,2652.5951294898987,2697.355201482773,2741.384216785431,2787.58038520813,2833.4636816978455,2877.9780218601227,2922.912218809128,2967.5376319885254,3011.0568990707397,3056.0894873142242,3100.5610551834106,3144.3432195186615,3187.01802444458,3231.607104063034,3275.7386889457703,3319.9585299491882,3363.1042895317078,3409.2490050792694,3454.322286128998,3499.6609423160553,3545.0228345394135,3589.8578855991364,3634.2701420783997,3679.014534473419,3722.871059656143,3767.1655519008636,3812.73121714592,3857.1927416324615,3901.3165690898895,3944.847018957138,3989.0595705509186,4032.324270248413,4077.3463184833527,4122.012198209763,4167.288627386093,4212.166229963303,4255.389907121658,4299.921717405319,4344.780212640762,4390.180466413498,4433.606160402298,4477.780090808868
40971,51.20515251159668,99.78984832763672,149.55704355239868,197.77305626869202,244.5022487640381,291.57627606391907,336.3916461467743,384.16906452178955,430.2261941432953,476.6586980819702,522.0473785400391,569.9356172084808,617.0414283275604,663.2959668636322,710.5519814491272,756.5491445064545,802.850204706192,848.3671414852142,894.870335817337,939.5035429000854,985.2363376617432,1030.2592644691467,1076.2346451282501,1120.3690412044525,1166.436731338501,1211.1186010837555,1256.4573953151703,1301.4399712085724,1346.9153230190277,1392.84010720253,1438.4456169605255,1483.2972819805145,1528.77117061615,1573.5516562461853,1618.0838420391083,1664.0358095169067,1707.1858303546906,1751.7209799289703,1798.7936761379242,1843.4187226295471,1888.2703733444214,1933.2316431999207,1977.9182476997375,2021.9580962657928,2065.952829360962,2110.194181919098,2154.5616106987,2199.09583902359,2243.866164445877,2290.1073672771454,2334.1883709430695,2379.180389404297,2425.468292951584,2469.7286188602448,2514.6092772483826,2558.309536933899,2603.7002539634705,2648.2958600521088,2693.672667503357,2737.715749502182,2782.942429304123,2829.0491387844086,2873.1712589263916,2918.035719871521,2962.426223039627,3006.822564601898,3051.6865429878235,3096.9662358760834,3142.0967814922333,3186.0270874500275,3229.68408203125,3271.865930557251,3316.357344150543,3361.3981413841248,3405.276119709015,3450.889895439148,3497.172116756439,3542.8356788158417,3586.5553274154663,3630.266124725342,3673.9084310531616,3717.4670746326447,3760.5692722797394,3806.5212852954865,3850.753875017166,3894.6041674613953,3938.940411567688,3981.7488775253296,4026.5427889823914,4070.4888463020325,4115.209585189819,4160.26911854744,4203.907890558243,4248.273789405823,4292.239885091782,4338.421108484268,4383.850361824036,4427.012729883194,4471.1003794670105
14,50.82048416137695,100.11855006217957,151.0420744419098,199.86757373809814,248.03410720825195,295.2574713230133,342.2672734260559,389.215535402298,434.97732853889465,480.99738240242004,527.9122848510742,576.1536827087402,622.8029897212982,668.426605463028,715.3335330486298,761.267758846283,807.4134171009064,852.847528219223,899.760422706604,944.58225440979,989.702675819397,1036.6734149456024,1083.0443105697632,1128.6193788051605,1174.957489490509,1220.9053363800049,1266.8093411922455,1313.0897612571716,1356.9256188869476,1402.475280046463,1448.8011047840118,1494.0543313026428,1540.8855020999908,1585.8402378559113,1632.7119576931,1677.5789575576782,1722.6349267959595,1767.9832475185394,1812.6456866264343,1858.9542906284332,1904.0601923465729,1949.475534915924,1994.8013815879822,2038.0056149959564,2082.3609256744385,2128.3472514152527,2174.352143764496,2219.4087159633636,2262.3444142341614,2307.1912846565247,2352.9438531398773,2399.6102764606476,2444.111962556839,2486.7428846359253,2532.3982400894165,2577.6736283302307,2621.1632130146027,2666.0177206993103,2711.293055534363,2756.722277879715,2801.7492566108704,2846.9203491210938,2890.465695619583,2934.702079296112,2980.1203320026398,3024.002714395523,3066.9723036289215,3111.35352230072,3156.421004295349,3199.6946098804474,3244.511885404587,3289.894005537033,3333.7641694545746,3378.4875786304474,3422.974508047104,3469.5424864292145,3515.193053483963,3559.9164638519287,3602.9015567302704,3647.8959159851074,3692.0437076091766,3736.515196323395,3781.7476799488068,3827.6090676784515,3872.9787237644196,3918.3501546382904,3962.396870613098,4004.7762837409973,4050.502999305725,4094.9904446601868,4140.132692098618,4184.962352275848,4231.577778100967,4275.649838924408,4320.014911651611,4364.1301527023315,4407.127238512039,4451.306319952011,4491.296562433243
16,51.327210664749146,101.47976493835449,152.1843671798706,203.02048921585083,251.41552901268005,300.5508224964142,347.96111726760864,393.8508803844452,438.54240250587463,485.8355691432953,531.1375498771667,578.8233354091644,624.5338234901428,671.1806621551514,717.8614435195923,763.5362765789032,811.1250002384186,857.2564542293549,902.6142117977142,948.2710654735565,992.4234130382538,1039.094217300415,1083.5378255844116,1129.1651327610016,1177.0849115848541,1222.720891714096,1268.7694454193115,1314.5788769721985,1359.992304801941,1406.7493064403534,1452.232638835907,1496.7276573181152,1540.7333130836487,1586.4961123466492,1631.2629835605621,1677.8837954998016,1722.3970687389374,1769.0816600322723,1814.89706492424,1859.567476272583,1905.001284122467,1949.5294826030731,1995.1711966991425,2039.956442117691,2083.1524374485016,2129.632398366928,2176.157387971878,2220.3103256225586,2266.2093443870544,2311.369496822357,2358.056208372116,2404.5739753246307,2450.946299791336,2496.9208805561066,2541.937561273575,2586.1957211494446,2630.337706565857,2675.1410298347473,2719.985580921173,2766.9729187488556,2813.2872891426086,2856.6510858535767,2902.795109987259,2948.419832468033,2993.908952474594,3039.678926229477,3084.991728782654,3129.7293729782104,3175.113320350647,3219.301099061966,3263.872509241104,3310.1760563850403,3355.785753250122,3400.2949254512787,3445.9737091064453,3493.0299537181854,3537.0793488025665,3582.88925242424,3628.7471804618835,3674.675927400589,3719.678194999695,3764.84162402153,3809.685953617096,3853.937755346298,3898.2336626052856,3943.4411640167236,3988.4543900489807,4034.5138635635376,4080.2074162960052,4124.124842882156,4168.03088259697,4211.57813501358,4256.320904016495,4301.692266464233,4345.454638004303,4388.091779232025,4432.562647342682,4472.169385910034,4513.775717258453
18,51.57917809486389,101.6654143333435,151.87747383117676,201.4375286102295,249.79113674163818,298.1466064453125,344.07432532310486,391.0278296470642,438.39415526390076,485.5409607887268,532.001570224762,580.2565791606903,628.0727231502533,674.6714990139008,720.821790933609,767.8387398719788,813.8851075172424,859.8105266094208,906.2950837612152,951.813086271286,997.236668586731,1041.5967416763306,1087.6260454654694,1133.399492740631,1179.1244058609009,1224.6054995059967,1269.156406879425,1314.4293093681335,1359.2503254413605,1406.3997163772583,1453.0205655097961,1499.1141502857208,1545.2385199069977,1589.8578641414642,1636.1459996700287,1681.5539255142212,1725.0849649906158,1770.0847980976105,1816.2044167518616,1861.8996603488922,1906.8738596439362,1952.0699727535248,1997.0708179473877,2041.8403613567352,2085.7968423366547,2130.654910802841,2176.8444032669067,2221.7681386470795,2267.2607576847076,2310.806002140045,2356.813552379608,2401.816603899002,2445.957506418228,2491.5463621616364,2535.988116979599,2581.1666283607483,2625.1027085781097,2670.3515384197235,2715.5575103759766,2761.199194431305,2807.9926738739014,2852.692227125168,2896.724375963211,2940.724755525589,2986.459417104721,3030.493962287903,3074.323288679123,3118.229619026184,3161.9743621349335,3207.27227973938,3252.046535730362,3296.4669890403748,3341.7702503204346,3387.4659485816956,3432.4824299812317,3477.528783082962,3521.8451330661774,3568.375428915024,3613.1696016788483,3657.1725652217865,3702.016711473465,3746.7700402736664,3791.0815014839172,3837.780158519745,3883.446390390396,3927.9001166820526,3972.5775825977325,4017.1311671733856,4061.984610557556,4107.68847322464,4153.395244598389,4198.132052659988,4242.852857589722,4289.268745183945,4334.975193977356,4381.644670963287,4426.417146205902,4470.722773075104,4514.956771850586
20,44.222299098968506,84.09230303764343,125.24996495246887,169.10072684288025,211.3919916152954,255.6123480796814,298.1952886581421,342.4800136089325,384.6690950393677,428.30387330055237,471.88023471832275,514.5310709476471,557.5548062324524,602.171217918396,645.1909077167511,690.1402494907379,732.8199093341827,775.2252895832062,819.6120493412018,863.5588481426239,905.6992740631104,947.0877814292908,990.6215839385986,1033.057874917984,1076.6782493591309,1119.4702365398407,1162.2110810279846,1204.8701856136322,1248.1269676685333,1290.6425731182098,1332.7591516971588,1375.4058406352997,1418.8250489234924,1461.247896194458,1504.0644028186798,1546.8728835582733,1588.1403193473816,1632.1260166168213,1675.5956916809082,1718.3680527210236,1759.4929020404816,1801.7635111808777,1843.6661715507507,1885.4301550388336,1926.7251861095428,1969.1238791942596,2011.2522954940796,2051.612345457077,2092.512372970581,2134.0906789302826,2176.3779199123383,2217.382443666458,2260.4833579063416,2302.4782197475433,2343.9722802639008,2386.106424331665,2428.9494919776917,2470.679756164551,2513.7639417648315,2556.710339307785,2600.6843781471252,2642.6977231502533,2685.172821521759,2726.7492339611053,2767.807629108429,2809.8378705978394,2851.4097764492035,2892.8991537094116,2935.3909945487976,2977.4001157283783,3018.315013885498,3061.520471096039,3103.2321302890778,3144.762446165085,3185.188087463379,3225.023118495941,3264.683283805847,3306.0926089286804,3345.952890396118,3387.1743216514587,3428.7973556518555,3470.155183315277,3512.3706409931183,3553.8646845817566,3595.5122442245483,3636.482584953308,3677.1139945983887,3717.8921661376953,3758.013460636139,3799.16338968277,3840.5812542438507,3881.995719432831,3924.6262576580048,3966.3019394874573,4007.826384782791,4049.8954989910126,4090.017454147339,4131.05829668045,4171.272599220276
22,42.604228019714355,85.57637929916382,130.15898299217224,176.0864326953888,221.0300099849701,264.9937176704407,308.1436131000519,351.78275632858276,396.33668851852417,440.8397104740143,485.66798663139343,530.1833281517029,572.7320370674133,617.1515333652496,660.860433101654,703.986664056778,749.2235271930695,792.8310894966125,836.437837600708,880.7724339962006,926.9189574718475,971.7421731948853,1016.0667419433594,1060.8625011444092,1103.733978509903,1148.0218977928162,1191.862741947174,1235.3573560714722,1279.968875169754,1323.8087849617004,1366.3729202747345,1408.108469247818,1450.8519458770752,1492.0533895492554,1532.99387216568,1576.7620787620544,1620.0169250965118,1663.7448146343231,1706.171933889389,1748.8419299125671,1791.8136610984802,1835.3979623317719,1878.382516860962,1922.2217392921448,1964.9454357624054,2008.6752145290375,2052.3097579479218,2096.9330508708954,2140.3296403884888,2184.0032517910004,2227.070999145508,2270.380548477173,2314.033289670944,2357.050649166107,2399.0405180454254,2442.0337483882904,2484.5152373313904,2527.8143739700317,2569.483600616455,2610.909111261368,2654.0721809864044,2697.2735483646393,2738.9770505428314,2780.9685299396515,2824.802562713623,2868.545167684555,2912.2332055568695,2954.7712819576263,2998.011786699295,3040.947653770447,3081.9461212158203,3123.0002801418304,3165.129565477371,3206.734862804413,3248.7313792705536,3290.1057918071747,3332.791941165924,3374.1546425819397,3415.8790254592896,3457.7373464107513,3498.2963609695435,3540.2344744205475,3582.575569629669,3624.778515815735,3667.9285690784454,3709.7991902828217,3751.3193917274475,3793.1994020938873,3835.6008977890015,3877.480766057968,3918.9826834201813,3959.7772431373596,4001.8362102508545,4042.3060421943665,4083.911508321762,4122.917568206787,4164.084805727005,4205.339550971985,4247.350448608398
