,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20,rank 21,rank 22,rank 23,rank 24,rank 25,rank 26,rank 27,rank 28,rank 29,rank 30,rank 31,rank 32,rank 33,rank 34,rank 35,rank 36,rank 37,rank 38,rank 39,rank 40
3,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0008740218053125415,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802,0.0005988023952095802
8,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012193301989773475,0.012148776232242864,0.012148776232242864,0.012148776232242864,0.012148776232242864,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479,0.0007213652227498479
11,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.003493647912885667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.008333333333333331,0.008333333333333331,0.0027777777777777766,0.0027777777777777766,0.002499999999999997,0.001666666666666667,0.001666666666666667,0.001666666666666667,0.001666666666666667,0.0013888888888888926,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892,0.0013888888888888892
40971,0.053144153306739994,0.053144153306739994,0.011704730546838793,0.011704730546838793,0.011704730546838793,0.011704730546838793,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.007289673377208483,0.007289673377208483,0.007289673377208483
14,0.011944444444444466,0.011944444444444466,0.01027777777777776,0.0069444444444444475,0.0069444444444444475,0.0069444444444444475,0.0069444444444444475,0.0069444444444444475,0.006666666666666682,0.006666666666666682,0.006666666666666682,0.006666666666666682,0.006666666666666682,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341
16,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.007222222222222227,0.006388888888888892,0.006388888888888892,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705,0.0016666666666666705
18,0.02416666666666667,0.02416666666666667,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.004722222222222211,0.004722222222222211,0.004722222222222211,0.004722222222222211,0.004722222222222211,0.004722222222222211,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614,0.0030555555555555614
20,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221
22,0.008611111111111125,0.008611111111111125,0.007500000000000007,0.007500000000000007,0.007500000000000007,0.007222222222222241,0.007222222222222241,0.007222222222222241,0.007222222222222241,0.006944444444444461,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0036111111111111344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
