,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20,rank 21,rank 22,rank 23,rank 24,rank 25,rank 26,rank 27,rank 28,rank 29,rank 30,rank 31,rank 32,rank 33,rank 34,rank 35,rank 36,rank 37,rank 38,rank 39,rank 40
3,0.005533530400690956,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.0071666182261000315,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.006353817597848336,0.003466189672311654,0.003466189672311654,0.003466189672311654,0.003466189672311654,0.003466189672311654,0.003466189672311654,0.0005988023952095803,0.0,0.0,0.0,0.0
8,0.023964652089709493,0.018363272679079168,0.018363272679079168,0.016317179242937463,0.016317179242937463,0.016317179242937463,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.012191804969138352,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988
11,0.08451847657509325,0.22136794562406711,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.1999027495170671,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.19775553303550925,0.046235550408177735,0.046235550408177735,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787,0.009761083023018787
12,0.005277777777777774,0.005277777777777768,0.005277777777777768,0.005277777777777768,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423,0.00083333333333333,0.00083333333333333,0.00083333333333333,0.00083333333333333,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813
40971,0.013530224921427303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.01611111111111113,0.013055555555555542,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657
16,0.04055555555555555,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676
18,0.009166666666666656,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.008888888888888918,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329,0.005833333333333329
20,0.02138888888888891,0.011111111111111118,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221
22,0.009722222222222243,0.004444444444444473,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365
