,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20,rank 21,rank 22,rank 23,rank 24,rank 25,rank 26,rank 27,rank 28,rank 29,rank 30,rank 31,rank 32,rank 33,rank 34,rank 35,rank 36,rank 37,rank 38,rank 39,rank 40
3,0.01774074359035585,0.004990764212494324,0.004990764212494324,0.004990764212494324,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.004609002086698594,0.0018533424953371793,0.0,0.0,0.0
8,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.012191804969138353,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988,0.011971419743889988
11,0.20203256696128621,0.20203256696128621,0.2010059855059767,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.04459787907903634,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082,0.022273114517091082
12,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.002499999999999997,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813,0.0002777777777777813
40971,0.034066407273713295,0.034066407273713295,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256,0.0038635306312049256
14,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657,0.0002777777777777657
16,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783,0.00027777777777777783
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221
22,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.004444444444444473,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365,0.0022222222222222365
