,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10,rank 11,rank 12,rank 13,rank 14,rank 15,rank 16,rank 17,rank 18,rank 19,rank 20,rank 21,rank 22,rank 23,rank 24,rank 25,rank 26,rank 27,rank 28,rank 29,rank 30,rank 31,rank 32,rank 33,rank 34,rank 35,rank 36,rank 37,rank 38,rank 39,rank 40
3,0.0017690109976126042,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.0017690109976126044,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916,0.000956210369360916
8,0.016201270961855252,0.016201270961855252,0.016201270961855252,0.014930066313336987,0.014930066313336987,0.012193301989773477,0.012193301989773477,0.012193301989773477,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892,0.0026848814872514892
11,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.006792306217391753,0.003830845771144283,0.003830845771144283,0.003830845771144283,0.003830845771144283,0.003830845771144283,0.003830845771144283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0013888888888888926,0.0008333333333333423,0.0008333333333333423,0.0008333333333333423
40971,0.01412283835662076,0.01412283835662076,0.01412283835662076,0.01412283835662076,0.01412283835662076,0.01412283835662076,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563,0.008276786412925563
14,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341,0.003333333333333341
16,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.005833333333333333,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676,0.004166666666666676
18,0.0030555555555555614,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0011111111111111183,0.0
20,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221,0.002222222222222221
22,0.006944444444444461,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809,0.002777777777777809
